Parameter,Min,Max,Step
dailyCaloricExpendature,1958,3758,50
VarAGResourceAvailability,1,1000,100
AvgAGResourceAvailability,500,2500,100
AGGrowthPeriod_Days,15,365,10
PreservationTechnologyEfficiency,0,1800,200
AvgHGResourceAvailability,300,2500,100
VarHGResourceAvailability,0,1000,200
HGGrowthPeriod_days,3.5,31.5,3.5
alpha,0.88,0.88,0
beta,0.88,0.88,0
lam,2.25,2.25,0
gamma,0.61,0.61,0
delta,0.69,0.69,0
maxCertaintyAdjustment,0.01,0.5,0.01
decisionCycle,1,1,0
decisionThreshold,0,0,0
forcastInterval,10,180,10
